aX,aY,aZ,gX,gY,gZ
0.138,0.959,-0.233,-46.570,-107.117,27.832
0.283,1.024,-0.319,-33.386,-106.201,22.278
0.311,1.022,-0.366,-7.080,-109.314,12.817
0.335,0.964,-0.385,25.574,-112.915,-1.038
0.320,0.909,-0.394,57.983,-114.868,-12.451
0.248,0.860,-0.374,88.623,-115.662,-21.362
0.361,1.746,-0.875,-172.852,-76.172,85.266
0.213,1.693,-0.618,-93.750,-111.450,31.372
-0.047,1.094,-0.285,5.066,-127.930,-42.114
-0.096,0.650,0.029,85.022,-115.601,-65.735
-0.070,0.804,0.259,102.844,-103.943,-38.696
-0.140,0.918,0.322,115.601,-92.468,-33.752
-0.157,0.849,0.485,137.878,-83.130,-42.053
-0.161,0.885,0.429,129.639,-69.397,-39.246
-0.019,1.056,0.167,96.985,-46.387,-30.273
0.159,1.198,0.002,68.298,-37.903,-24.536
0.262,1.271,-0.111,55.237,-36.560,-19.958
0.218,1.254,-0.235,52.002,-35.034,-16.541
0.208,1.186,-0.311,49.133,-40.039,-11.414
0.180,1.224,-0.273,40.833,-50.537,-6.042
0.156,1.167,-0.210,42.725,-57.556,-11.536
0.130,0.988,-0.179,61.707,-56.580,-26.428
0.082,0.839,-0.144,78.125,-54.932,-36.255
0.040,0.800,-0.081,69.214,-56.152,-33.386
-0.006,0.836,-0.057,45.776,-55.176,-26.428
-0.077,0.838,-0.121,20.874,-51.514,-25.024
-0.116,0.759,-0.201,-16.724,-51.392,-22.522
-0.089,0.763,-0.209,-68.726,-56.030,-11.536
-0.038,0.850,-0.170,-118.469,-61.951,3.235
-0.019,0.947,-0.112,-153.381,-64.636,15.076
-0.002,1.041,-0.028,-164.673,-62.134,20.081
0.055,1.099,-0.018,-147.644,-53.528,19.104
0.084,1.048,-0.132,-121.277,-39.978,11.475
0.087,0.990,-0.260,-101.990,-28.809,2.991
0.116,0.993,-0.263,-77.148,-26.062,0.000
0.133,1.024,-0.148,-38.269,-29.297,-4.700
0.156,0.964,-0.034,4.211,-30.762,-16.968
0.161,0.845,-0.048,42.603,-26.001,-29.419
0.177,0.747,-0.051,69.092,-21.973,-35.828
0.129,0.690,0.010,87.219,-20.569,-37.842
0.099,0.607,0.017,108.276,-15.808,-38.635
0.079,0.519,-0.018,124.329,-7.263,-35.400
-0.058,0.461,-0.025,128.296,-1.648,-26.917
-0.004,0.475,0.033,126.587,1.648,-12.207
-0.053,0.594,0.114,117.920,6.714,2.930
